id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
504,"¿Qué grado de protección mínimo requieren los equipos eléctricos instalados en el volumen 1 de una fuente? (ITC-BT 31)",,"IP X4.","IP X5.","IP X6.","IP X5."
505,"Son locales o emplazamientos con riesgo de corrosión: (ITC-BT 30)",,"Aquellos que tienen un ambiente polvoriento.","Aquellos en los que haya gases que no puedan dañar a los materiales eléctricos utilizados en la instalación.","Aquellos en los que haya vapores que puedan dañar a los materiales eléctricos utilizados en la instalación.","Aquellos en los que haya vapores que puedan dañar a los materiales eléctricos utilizados en la instalación."
506,"¿Qué distancia habrá entre las pantallas incombustibles empleadas para separar un transformador de 6.000 VA de las partes combustibles de un edificio? (ITC-BT 48)",,"2 cm.","3 cm.","1 cm.","2 cm."
507,"¿Cómo se denomina al esquema de las redes con neutro conectado directamente a tierra y masas puestas a tierra en puntos diferentes al anterior? (ITC-BT 08)",,"TN-C.","TN-S.","TT.","TT."
508,"Indíquese la calificación qué obtendrá una inspección realizada en una instalación en servicio en la que se detectara, al menos, un defecto muy grave: (ITC-BT 05)",,"Pésima.","Condicionada.","Negativa.","Negativa."
509,"Indíquese la caída de tensión máxima admisible de la derivación individual en el caso de contadores concentrados en más de un lugar. (ITC-BT 15)",,"0,5%.","1%.","1,5%.","0,5%."
510,"Si en la inspección de la instalación eléctrica de una vivienda nueva se detecta que el número de circuitos es menor a los mínimos estipulados: (ITC-BT 05)",,"Se considera un defecto muy grave.","Se considera un defecto leve.","No podrá ser suministrada de energía eléctrica hasta que se corrija el defecto.","No podrá ser suministrada de energía eléctrica hasta que se corrija el defecto."
511,"¿Cuál es el número máximo de circuitos que pueden conectarse a un diferencial en la instalación eléctrica de una vivienda? (ITC-BT 25)",,"Cuando el circuito C4 no está desdoblado pueden conectarse 5 circuitos.","Cuando el circuito C4 está desdoblado pueden conectarse 7 circuitos.","Ambas respuestas son correctas.","Ambas respuestas son correctas."
512,"Los equipos eléctricos de los puntos de luz para alumbrado exterior y montaje externo, ¿qué grado de protección mínimo tendrán? (ITC-BT 09)",,"IP 44.","IK 07.","IP 54.","IP 54."
513,"¿Cuándo podrán los usuarios o el instalador electricista autorizado acceder y actuar sobre las conexiones de la caja general de protección con la línea general de alimentación? (ITC-BT 13)",,"Siempre que quieran y sin previa comunicación a la empresa suministradora.","Nunca aunque lo comuniquen a la empresa suministradora.","Previa comunicación a la empresa suministradora.","Previa comunicación a la empresa suministradora."
514,"La derivación individual para un local comercial en un edificio de viviendas: (ITC-BT 15)",,"Tendrá una caída de tensión máxima del 0,5% en el caso de contadores concentrados en un único punto.","Se instalará por un tubo de 32 mm. de diámetro mínimo.","Si el local no tiene definida la partición, se instalará un tubo por cada 80 m² de superficie del local.","Se instalará por un tubo de 32 mm. de diámetro mínimo."
515,"Las tomas de corriente en las instalaciones eléctricas de puertos y marinas para barcos de recreo tendrán un grado de protección mínimo: (ITC-BT 42)",,"IP X6.","IP X4.","IP X1.","IP X6."
516,"El esquema de contadores en forma centralizada en más de un lugar: (ITC-BT 12)",,"Se empleará únicamente en conjuntos de edificación vertical u horizontal destinados a viviendas.","Es de aplicación en el caso de centralización de contadores de forma distribuida mediante canalizaciones eléctricas prefabricadas que cumplan lo establecido en la norma UNE-EN 60.439-2.","No es de aplicación en agrupaciones de viviendas en distribución horizontal dentro de un recinto privado.","Es de aplicación en el caso de centralización de contadores de forma distribuida mediante canalizaciones eléctricas prefabricadas que cumplan lo establecido en la norma UNE-EN 60.439-2."
517,"Si hay una variación importante del reglamento de baja tensión que constituye la base para obtener el certificado de cualificación individual en baja tensión: (ITC-BT 03)",,"El titular del certificado deberá solicitar la actualización del mismo.","El titular del certificado deberá solicitar la actualización del mismo, siempre que en la disposición correspondiente se determine que sea preciso hacerlo y se cumplan los requisitos establecidos.","El certificado será actualizado automáticamente siempre.","El titular del certificado deberá solicitar la actualización del mismo, siempre que en la disposición correspondiente se determine que sea preciso hacerlo y se cumplan los requisitos establecidos."
518,"¿Cuál es el grado de electrificación mínimo en una vivienda con superficie superior a 160 m²? (ITC-BT 10 2.2)",,"Básico.","Elevado.","Depende si dispone de calefacción eléctrica.","Elevado."
519,"¿Cuál será la distancia mínima desde la parte inferior de una concentración de contadores al suelo? (ITC-BT 16)",,"0,30 m.","0,25 m.","0,20 m.","0,25 m."
520,"¿Cómo se definen las redes de distribución pública en baja tensión? (REBT Art. 8)",,"Por los valores de la tensión entre fase y tierra y entre dos conductores de fase, para las instalaciones unidas directamente a tierra.","Por los valores de la tensión entre fase y tierra y entre dos conductores de fase, para las instalaciones no unidas directamente a tierra.","Por los valores de la tensión entre dos conductores de fase, para las instalaciones unidas directamente a tierra.","Por los valores de la tensión entre fase y tierra y entre dos conductores de fase, para las instalaciones unidas directamente a tierra."
521,"Indíquese cuáles son los conductores activos en corriente alterna: (ITC-BT 01)",,"Únicamente las fases.","Los de compensación y el neutro.","Las fases y el neutro.","Las fases y el neutro."
522,"Una pared, en una instalación eléctrica con una tensión superior a 500 V, se considerará no conductora cuando su resistencia sea como mínimo de: (ITC-BT 01)",,"50.000 Ω.","0,5 MΩ.","100.000 Ω.","100.000 Ω."
523,"¿Cuándo deben disponer los estacionamientos subterráneos de un suministro complementario de reserva? (ITC-BT 28)",,"Cuando su capacidad sea para más de 100 vehículos.","Cuando su capacidad sea para más de 200 vehículos.","Nunca.","Cuando su capacidad sea para más de 100 vehículos."
524,"La previsión de cargas mínima para un edificio de 15 viviendas de 95 m² será: (ITC-BT 10)",,"109.480 W.","64.975 W.","68.425 W.","68.425 W."
525,"A la protección que consiste en alimentar un circuito mediante un transformador de aislamiento se le denomina: (ITC-BT 24)",,"Protección contra contactos directos por separación eléctrica.","Protección contra contactos indirectos por separación eléctrica.","Protección contra corriente de sobrecarga.","Protección contra contactos indirectos por separación eléctrica."
526,"El interruptor automático para la alimentación de un calentador de agua en el que ésta forma parte del circuito eléctrico: (ITC-BT 45)",,"Tendrá protección contra sobrecargas en cada conductor que conecte con un electrodo.","Será de corte omnipolar simultáneo.","Las respuestas a y b son correctas.","Las respuestas a y b son correctas."
527,"¿Cómo puede realizarse un suministro complementario? (REBT Art. 10)",,"Mediante medios propios de producción.","Mediante medios propios de producción, pero sólo para un suministro de socorro.","Sólo se podrá realizar con otra empresa distribuidora diferente de la del suministro normal.","Mediante medios propios de producción."
528,"El puesto de trabajo de un técnico de iluminación de un teatro está catalogado como zona de alto riesgo. La iluminación con suministro normal es de 50 lux. ¿Qué alumbrado de seguridad debe tener esa zona? (ITC-BT 28)",,"Alumbrado de zonas de alto riesgo con una iluminancia mínima de 5 lux.","Alumbrado de zonas de alto riesgo con una iluminancia mínima de 15 lux.","Alumbrado de emergencia con una iluminancia mínima de 1 lux.","Alumbrado de zonas de alto riesgo con una iluminancia mínima de 15 lux."
529,"¿Cuál será la sección del conductor de protección común a tres circuitos cuyos conductores activos tienen 2,5 mm², 4 mm² y 6 mm² de sección? (ITC-BT 18)",,"6 mm².","4 mm².","2,5 mm².","6 mm²."
530,"¿Dónde se instalará la caja de protección y medida? (ITC-BT 13)",,"Nunca sobre las fachadas exteriores de los edificios ni en lugares de libre y permanente acceso.","Obligatoriamente sobre las fachadas exteriores de los edificios en lugares de libre y permanente acceso.","Preferentemente sobre las fachadas exteriores de los edificios, en lugares de libre y permanente acceso.","Preferentemente sobre las fachadas exteriores de los edificios, en lugares de libre y permanente acceso."
531,"Indíquese la sección mínima de los conductores de fase y neutro en las instalaciones aéreas de alumbrado exterior. (ITC-BT 09 5.2.2)",,"10 mm².","4 mm².","6 mm².","4 mm²."
532,"Las cajas de conexiones de las instalaciones eléctricas bajo tubo deberán tener una profundidad al menos igual al diámetro del tubo mayor más un 50% del mismo, con un mínimo de: (ITC-BT 21)",,"50 mm.","40 mm.","20 mm.","40 mm."
533,"Los condensadores que no incorporen indicación de temperatura máxima admisible no se podrán utilizar en lugares donde la temperatura ambiente sea de: (ITC-BT 48)",,"40 °C.","30 °C.","50 °C o mayor.","50 °C o mayor."
534,"¿Cuál es la tensión asignada mínima de los conductores de una derivación individual? (ITC-BT 15)",,"300/500 V.","450/750 V.","0,6/1 kV.","450/750 V."
535,"¿Se podrá instalar un conductor de protección común a varios circuitos en la instalación de una vivienda? (ITC-BT 25)",,"Nunca.","Sí, en cuyo caso su sección será como mínimo igual a la del conductor de fase del circuito de mayor sección.","Sólo en casos debidamente justificados por imposibilidad técnica de instalar un conductor de protección por circuito.","Nunca."
536,"¿Qué sección mínima tendrán las redes de control para una instalación de alumbrado exterior? (ITC-BT 09)",,"4 mm².","2,5 mm².","6 mm².","2,5 mm²."
537,"¿Cuál es el origen de una instalación eléctrica temporal de una feria? (ITC-BT 34)",,"Las salidas del cuadro general de mando y protección de la instalación.","Es el punto de la instalación permanente o de otra fuente de suministro desde la que se alimentan las instalaciones eléctricas temporales.","Es el punto de la alimentación a 230/400 V de donde se toma corriente para los cuadros de distribución secundarios.","Es el punto de la instalación permanente o de otra fuente de suministro desde la que se alimentan las instalaciones eléctricas temporales."
538,"Indíquese la resolución del medidor de corrientes de fuga necesario para un instalador autorizado. (ITC-BT 03)",,"Menor o igual que 1 mA.","Mayor o igual que 1 mA.","Mayor o igual que 1 A.","Mayor o igual que 1 mA."
539,"¿A qué altura mínima desde el nivel del suelo se instalarán los dispositivos generales e individuales de mando y de protección de una lencería? (ITC-BT 17 1.1)",,"1 m.","1,10 m.","1,4 m.","1 m."
540,"Una vivienda de 150 m² tiene 40 puntos de luz y 25 tomas de corriente de uso general, además de las tomas de corriente de los cuartos de baño y bases auxiliares de cocina y de la secadora. El cuadro general de mando y protección constará como mínimo de un interruptor magnetotérmico omnipolar y: (ITC-BT 25)",,"Un interruptor diferencial y cinco circuitos independientes.","Dos interruptores diferenciales y ocho circuitos independientes.","Un interruptor diferencial y siete circuitos independientes.","Dos interruptores diferenciales y ocho circuitos independientes."
541,"En una instalación generadora aislada que alimenta exclusivamente a una instalación receptora, ¿cómo debe hacerse la puesta a tierra del neutro y de las masas? (ITC-BT 40)",,"Conforme a uno de los sistemas recogidos en la ITC-BT 08.","Conforme a uno de los sistemas recogidos en la ITC-BT 09.","Conforme a uno de los sistemas recogidos en la ITC-BT 80.","Conforme a uno de los sistemas recogidos en la ITC-BT 08."
542,"Las instalaciones receptoras que tengan un factor de potencia inferior a la unidad, ¿cómo podrán ser corregidas? (ITC-BT 43)",,"Por la totalidad de la instalación, con una batería automática que asegure que la variación del factor de potencia es mayor del ± 10% del valor medio.","Por cada receptor, asegurándose de que el interruptor automático debe cortar la alimentación del receptor y del condensador de forma simultánea.","Por grupo de receptores, con una batería automática que asegure que la variación del factor de potencia es mayor del ± 10% del valor medio.","Por cada receptor, asegurándose de que el interruptor automático debe cortar la alimentación del receptor y del condensador de forma simultánea."
543,"Indíquese si es necesaria la realización de un proyecto para la ejecución de un garaje con ventilación natural. (ITC-BT 04)",,"Sí, para más de 5 plazas de estacionamiento.","Sí, para menos de 5 plazas de estacionamiento.","Sí, siempre.","Sí, para más de 5 plazas de estacionamiento."
544,"¿Cuál será la ocupación mínima prevista de un local de espectáculos de 300 m² de superficie útil? (ITC-BT 28)",,"375 personas.","300 personas.","240 personas.","375 personas."
545,"Las empresas distribuidoras estarán obligadas, siempre que el cliente así lo solicite, a efectuar el suministro de forma que permita el funcionamiento de cualquier receptor monofásico de potencia menor o igual a: (ITC-BT 10)",,"9.200 W.","14.490 W.","5.750 W.","5.750 W."
546,"En las instalaciones de alumbrado exterior se pueden admitir interruptores diferenciales de 500 mA de sensibilidad, si la resistencia de puesta a tierra es igual o inferior a: (ITC-BT 09)",,"1 Ω.","10 Ω.","5 Ω.","5 Ω."
547,"En la instalación de un gimnasio con ocupación prevista de 60 personas, ¿en qué casos un tubo podrá contener un conductor de protección común a varios circuitos con tensión nominal de 230 V? (ITC-BT 18 ITC-BT 19 ITC-BT 20)",,"Cuando los conductores tienen idéntica tensión asignada de aislamiento y cada circuito tiene su propia protección magnetotérmica.","Cuando todos los conductores de los circuitos que hay en el interior del tubo están aislados para la tensión asignada más elevada y el conductor de protección está dimensionado en función de la mayor sección de los conductores de fase presentes en el tubo.","Cuando el conductor de protección está dimensionado en función de la mayor sección de los conductores de fase, sin importar la tensión asignada del aislamiento de los conductores que hay en el tubo.","Cuando todos los conductores de los circuitos que hay en el interior del tubo están aislados para la tensión asignada más elevada y el conductor de protección está dimensionado en función de la mayor sección de los conductores de fase presentes en el tubo."
548,"¿Cómo se denomina a la corriente que pasa a través del cuerpo humano cuando está sometido a una tensión? (ITC-BT 01)",,"Corriente de contacto.","Corriente de defecto.","Contacto indirecto.","Corriente de contacto."
549,"¿Cuál será la distancia mínima desde la pared donde se instale la centralización de contadores hasta el primer obstáculo que tenga enfrente? (ITC-BT 16)",,"2,30 m.","No existe medida reglamentaria.","1,10 m.","1,10 m."
550,"En una zona de una tintorería donde se utilizan líquidos inflamables se ha instalado una toma de corriente trifásica con un cable tripolar de XLPE bajo tubo en montaje superficial. La sección de los conductores que componen dicho cable es de 6 mm² y la temperatura ambiente es de 40 °C. ¿Cuál es la intensidad máxima admitida por los conductores del cable? (UNE 20.460-5-523)",,"44 A.","37 A.","31,45 A.","31,45 A."
551,"Si el sistema adoptado para las conexiones de conductores de una instalación interior es de tornillo de apriete entre una arandela metálica bajo su cabeza y una superficie metálica: (ITC-BT 19)",,"Los conductores de sección superior a 6 mm² deberán conectarse por medio de terminales adecuados.","Los conductores de sección inferior a 6 mm² deberán conectarse por medio de terminales adecuados.","Los conductores de sección superior a 6 mm² deberán conectarse por retorcimiento.","Los conductores de sección superior a 6 mm² deberán conectarse por medio de terminales adecuados."
552,"El instalador autorizado, ¿cuánto tiempo debe conservar y tener a disposición de la administración una copia de los contratos de mantenimiento desde la finalización de los mismos? (ITC-BT 03)",,"Hasta que finaliza el contrato de mantenimiento.","1 año.","5 años.","5 años."
553,"¿Qué características tendrán los cables de la instalación provisional de una obra? (ITC-BT 33)",,"Los cables a emplear en acometidas e instalaciones exteriores serán de tensión asignada mínima 450/750 V, con cubierta de policloropreno o similar y aptos para servicios móviles.","Para instalaciones interiores los cables serán de tensión asignada mínima 300/500 V y aptos para servicios móviles.","Las dos respuestas anteriores son correctas.","Las dos respuestas anteriores son correctas."
554,"¿Cómo podrán instalarse las canalizaciones en un local de pública concurrencia? (ITC-BT 28)",,"Conductores aislados, de tensión asignada no inferior a 450/750 V, colocados bajo tubos o canales protectores clasificados como “no propagadores de la llama”.","Conductores aislados, de tensión asignada no inferior a 450/750 V, colocados bajo tubos o canales protectores clasificados obligatoriamente como “libres de halógenos”.","Ninguna de las respuestas anteriores es correcta.","Conductores aislados, de tensión asignada no inferior a 450/750 V, colocados bajo tubos o canales protectores clasificados como “no propagadores de la llama”."
555,"Para la protección contra contactos indirectos en locales no conductores, ¿qué condiciones de aislamiento tendrán los elementos conductores? (ITC-BT 24)",,"Soportar una tensión de ensayo de 2.000 V y corrientes de fuga superior a 1 mA.","Soportar una tensión de ensayo de 2.000 V y corrientes de fuga no superior a 1mA.","Soportar una tensión de ensayo de 2.500 V y corrientes de fuga no superior a 1 mA.","Soportar una tensión de ensayo de 2.000 V y corrientes de fuga no superior a 1mA."
556,"En la protección contra contactos indirectos, ¿qué sistemas de protección se pueden utilizar en un esquema IT? (ITC-BT 24)",,"Controladores permanentes de aislamiento.","Dispositivos de corte por corriente diferencial-residual.","Los dos anteriores son válidos.","Los dos anteriores son válidos."
557,"¿Qué porcentaje mínimo tendrá el suministro complementario obligatorio de un estadio deportivo respecto de la potencia total contratada para el suministro normal? (REBT Art. 10.1.B.b ITC-BT 28)",,"25%.","50%.","No existe limitación reglamentaria de potencia.","25%."
558,"¿Se admite la instalación de cajas de conexión en el volumen 0 de una piscina? (ITC-BT 31)",,"No se admitirán cajas de conexión en el volumen 0.","No se admitirán cajas de conexión en el volumen 1.","Se admitirán cajas de conexión en el volumen 1 si son de MBTS e IP X5.","No se admitirán cajas de conexión en el volumen 0."
559,"¿A partir de qué potencia prevista se hace necesario un proyecto para la ejecución de una industria? (ITC-BT 04)",,"15 kW.","20 kW.","21 kW.","20 kW."
560,"Tenemos una vivienda de 161 m2. Si la longitud de la derivación individual es 20 m, los conductores son de cobre unipolares tipo ES07Z1, la tensión 230 V y los contadores son centralizados en un sólo punto. ¿Cuál es la sección mínima de la derivación individual monofásica? La instalación está realizada con tubo curvable empotrado en pared aislante. Considerar cos f=1 y temperatura ambiente 40 ºC. (UNE 20.460-5-523)",,"25 mm2.","10 mm2.","16 mm2.","16 mm2."
561,"Un edificio destinado a viviendas tiene 3 locales comerciales de 40 m2 y dos oficinas de 40 m2. ¿Cuál será la carga mínima que les corresponde? (ITC-BT 10)",,"20.000 W.","17.250 W.","25.000 W.","20.000 W."
562,"¿Cómo puede controlarse el nivel de sobretensiones en una instalación interior? (ITC-BT 23)",,"Mediante dispositivos de protección contra las sobrecargas colocados en la instalación eléctrica del edificio.","Mediante dispositivos de protección contra las sobretensiones colocados en las líneas aéreas, siempre que estén suficientemente alejados del origen de la instalación.","Mediante dispositivos de protección contra las sobretensiones colocados en la instalación eléctrica del edificio.","Mediante dispositivos de protección contra las sobretensiones colocados en la instalación eléctrica del edificio."
563,"¿Cuál es la tensión mínima asignada para los conductores aislados de una red aérea de distribución de baja tensión? (ITC-BT 06)",,"0,6/1 kV.","450/750 kV.","230/400 V.","0,6/1 kV."
564,"De los siguientes dispositivos, ¿cuáles se pueden utilizar para la protección contra contactos indirectos en el esquema TN? (ITC-BT 24)",,"Interruptores automáticos solamente.","Protección por dispositivos de corriente diferencial-residual solamente.","Ninguna de las respuestas anteriores es correcta.","Ninguna de las respuestas anteriores es correcta."
565,"En caso de viviendas se instalará un circuito adicional por cada: (ITC-BT 25)",,"30 puntos de luz.","20 puntos de luz.","10 tomas de corriente.","30 puntos de luz."
566,"¿Qué conductores incluirá la derivación individual además de los de fase? (ITC-BT 15)",,"El conductor neutro, el conductor de protección y el hilo de mando.","Sólo el conductor de protección.","Ninguna de las respuestas anteriores es correcta.","El conductor neutro, el conductor de protección y el hilo de mando."
567,"En la instalación de una grúa, ¿deberá ponerse a tierra la estructura de los motores? (ITC-BT 32)",,"No es obligatorio si se utiliza protección por separación eléctrica.","Sí, siempre.","Solamente es obligatorio cuando dichos motores son accesibles.","Sí, siempre."
568,"En las instalaciones para alimentar barcos de recreo: (ITC-BT 42)",,"La longitud de los cables de conexión a los barcos no debe rebasar los 15 m.","La protección de las tomas de corriente será con diferenciales de sensibilidad no superior a 30 mA.","Las tomas de corriente estarán protegidas por un dispositivo contra sobreintensidades superior a 16 A.","La protección de las tomas de corriente será con diferenciales de sensibilidad no superior a 30 mA."
569,"Indíquese la intensidad máxima admisible para un cable en haz a espiral visible de aluminio con aislamiento de polietileno reticulado (XLPE), de 3 x 25 Al / 54,6 Alm mm2 de sección, en instalación tensada de una red de distribución aérea a la temperatura ambiente de 20 ºC. (ITC-BT 06)",,"100 A.","97 A.","118 A.","118 A."
570,"¿Cuáles serán los requisitos para el cableado de una instalación eléctrica fija de un emplazamiento de clase I? (ITC-BT 29)",,"Cables con aislamiento mineral y cubierta no metálica según UNE 21.157 parte 2.","Cables armados con alambres de acero galvanizado y cubierta externa metálica.","Cables con aislamiento mineral y cubierta metálica según UNE 21.157 parte 1.","Cables con aislamiento mineral y cubierta metálica según UNE 21.157 parte 1."
571,"El esquema de contadores en forma centralizada en más de un lugar: (ITC-BT 12)",,"Se empleará únicamente en conjuntos de edificación vertical u horizontal destinados a viviendas.","Es de aplicación en el caso de centralización de contadores de forma distribuida mediante canalizaciones eléctricas prefabricadas que cumplan lo establecido en la norma UNE-EN 60.439-2.","No es de aplicación en agrupaciones de viviendas en distribución horizontal dentro de un recinto privado.","Es de aplicación en el caso de centralización de contadores de forma distribuida mediante canalizaciones eléctricas prefabricadas que cumplan lo establecido en la norma UNE-EN 60.439-2."
572,"Indíquese el valor de la caída de tensión máxima admisible en la derivación individual en el caso de suministro para dos usuarios alimentados desde el mismo lugar. (ITC-BT 15 ITC-BT 12)",,"0,5%.","1%.","1,5%.","1,5%."
573,"En la instalación eléctrica de una vivienda, ¿qué potencia prevista por toma se ha de considerar en el circuito destinado a la instalación de una secadora independiente? (ITC-BT 25)",,"5.750 W.","3.450 W.","4.350 W.","3.450 W."
574,"¿Qué potencia prevista por toma debe tener el circuito destinado a alimentar la lavadora, lavavajillas y termo de una instalación eléctrica de una vivienda? (ITC-BT 25)",,"4.600 W.","3.450 W.","5.400 W.","3.450 W."
575,"¿Cuándo deberá efectuarse la conexión de un generador síncrono en paralelo con la red de distribución pública? (ITC-BT 40)",,"Deberá efectuarse cuando la diferencia de tensiones sea de ± 9%.","Deberá efectuarse cuando la diferencia de frecuencia sea de ± 0,1 Hz.","Ninguna respuesta es correcta.","Deberá efectuarse cuando la diferencia de frecuencia sea de ± 0,1 Hz."
576,"Una base de toma de corriente instalada en una escollera sin medidas complementarias de protección, ¿a qué distancia se instalará por encima de la acera? (ITC-BT 42)",,"Como mínimo a 1 m.","Como mínimo a 1,2 m.","Como mínimo a 0,3 m.","Como mínimo a 1 m."
577,"Señálese qué eficacia mínima tendrá el extintor móvil del exterior del local de contadores: (ITC-BT 16)",,"12 B.","20 B.","21 B.","21 B."
578,"¿Cuál será la anchura mínima de los pasillos de servicio de un local con baterías de acumuladores? (ITC-BT 30)",,"La anchura mínima de los pasillos de servicio será de 0,75 cm.","La anchura mínima de los pasillos de servicio será de 75 cm.","La anchura mínima de los pasillos de servicio será de 75 m.","La anchura mínima de los pasillos de servicio será de 75 cm."
579,"En una instalación eléctrica de alumbrado a muy baja tensión de seguridad, ¿cuál será la caída de tensión máxima permitida entre la fuente de energía y los puntos de utilización? (ITC-BT 36)",,"3%.","5%.","1,5%.","5%."
580,"En un edificio de viviendas de nueva construcción, ¿dónde se establecerán las derivaciones de la línea principal de tierra? (ITC-BT 26)",,"En la misma canalización que la línea general de alimentación.","En la misma canalización que las derivaciones individuales.","Las dos respuestas anteriores son correctas.","En la misma canalización que las derivaciones individuales."
581,"¿Cuál es la sección mínima exigida a los conductores que constituyen las derivaciones de la línea principal de tierra de un edificio de viviendas? (ITC-BT 26)",,"16 mm2.","Según la fijada para los conductores de protección en la ITC-BT 19.","No existe sección mínima en este caso.","Según la fijada para los conductores de protección en la ITC-BT 19."
582,"La conexión eléctrica que pone al mismo potencial a las partes conductoras accesibles y elementos conductores se denomina: (ITC-BT 01)",,"Conexión equipotencial.","Conexión a tierra.","Conector.","Conexión equipotencial."
583,"En el lecho de una zanja donde se va a colocar un cable subterráneo de una línea de distribución se dispondrá una capa de arena de espesor mínimo de: (ITC-BT 07)",,"0,10 m.","0,05 m.","0,15 m.","0,05 m."
584,"En las instalaciones de alumbrado exterior se pueden admitir interruptores diferenciales de 500 mA de sensibilidad, si la resistencia de puesta a tierra es igual o inferior a: (ITC-BT 09)",,"1 Ω.","10 Ω.","5 Ω.","5 Ω."
585,"En una instalación generadora aislada que alimenta exclusivamente a una instalación receptora, ¿cómo debe hacerse la puesta a tierra del neutro y de las masas? (ITC-BT 40)",,"Conforme a uno de los sistemas recogidos en la ITC-BT 08.","Conforme a uno de los sistemas recogidos en la ITC-BT 09.","Conforme a uno de los sistemas recogidos en la ITC-BT 80.","Conforme a uno de los sistemas recogidos en la ITC-BT 08."
586,"¿Cuál será la distancia mínima desde la pared donde se instale la centralización de contadores hasta el primer obstáculo que tenga enfrente? (ITC-BT 16)",,"2,30 m.","No existe medida reglamentaria.","1,10 m.","1,10 m."
587,"Las cajas de conexiones de las instalaciones eléctricas bajo tubo deberán tener una profundidad al menos igual al diámetro del tubo mayor más un 50 % del mismo, con un mínimo de: (ITC-BT 21)",,"50 mm.","40 mm.","20 mm.","40 mm."
588,"El puesto de trabajo de un técnico de iluminación de un teatro está catalogado como zona de alto riesgo. La iluminación con suministro normal es de 50 lux. ¿Qué alumbrado de seguridad debe tener esa zona? (ITC-BT 28)",,"Alumbrado de zonas de alto riesgo con una iluminancia mínima de 5 lux.","Alumbrado de zonas de alto riesgo con una iluminancia mínima de 15 lux.","Alumbrado de emergencia con una iluminancia mínima de 1 lux.","Alumbrado de zonas de alto riesgo con una iluminancia mínima de 15 lux."
589,"¿Cuál es la tensión asignada mínima de los conductores de una derivación individual? (ITC-BT 15)",,"300/500 V.","450/750 V.","0,6/1 kV.","450/750 V."
590,"Las empresas distribuidoras estarán obligadas, siempre que el cliente así lo solicite, a efectuar el suministro de forma que permita el funcionamiento de cualquier receptor monofásico de potencia menor o igual a: (ITC-BT 10)",,"9 200 W.","14 490 W.","5 750 W.","5 750 W."
591,"Una vivienda de 150 m² tiene 40 puntos de luz y 25 tomas de corriente de uso general, además de las tomas de corriente de los cuartos de baño y bases auxiliares de cocina y de la secadora. El cuadro general de mando y protección constará como mínimo de un interruptor magnetotérmico omnipolar y: (ITC-BT 25)",,"Un interruptor diferencial y cinco circuitos independientes.","Dos interruptores diferenciales y ocho circuitos independientes.","Un interruptor diferencial y siete circuitos independientes.","Dos interruptores diferenciales y ocho circuitos independientes."
592,"En la instalación de un gimnasio con ocupación prevista de 60 personas, ¿en qué casos un tubo podrá contener un conductor de protección común a varios circuitos con tensión nominal de 230 V? (ITC-BT 18/19/20)",,"Cuando los conductores tienen idéntica tensión asignada de aislamiento y cada circuito tiene su propia protección magnetotérmica.","Cuando todos los conductores de los circuitos que hay en el interior del tubo están aislados para la tensión asignada más elevada y el conductor de protección está dimensionado en función de la mayor sección de los conductores de fase presentes en el tubo.","Cuando el conductor de protección está dimensionado en función de la mayor sección de los conductores de fase, sin importar la tensión asignada de aislamiento de los conductores que hay en el tubo.","Cuando todos los conductores de los circuitos que hay en el interior del tubo están aislados para la tensión asignada más elevada y el conductor de protección está dimensionado en función de la mayor sección de los conductores de fase presentes en el tubo."
593,"Indíquese si es necesaria la realización de un proyecto para la ejecución de un garaje con ventilación natural. (ITC-BT 04)",,"Sí, para más de 5 plazas de estacionamiento.","Sí, para menos de 5 plazas de estacionamiento.","Sí, siempre.","Sí, para más de 5 plazas de estacionamiento."
594,"¿Cuál es el origen de una instalación eléctrica temporal de una feria? (ITC-BT 34)",,"Las salidas del cuadro general de mando y protección de la instalación.","Es el punto de la instalación permanente o de otra fuente de suministro desde la que se alimenta a las instalaciones eléctricas temporales.","Es el punto de la alimentación a 230/400 V de donde se toma corriente para los cuadros de distribución secundarios.","Es el punto de la instalación permanente o de otra fuente de suministro desde la que se alimenta a las instalaciones eléctricas temporales."
595,"¿Se podrá instalar un conductor de protección común a varios circuitos en la instalación de una vivienda? (ITC-BT 25)",,"Nunca.","Sí, en cuyo caso su sección será como mínimo igual a la del conductor de fase del circuito de mayor sección.","Sólo en casos debidamente justificados por imposibilidad técnica de instalar un conductor de protección por circuito.","Nunca."
596,"¿Dónde se instalará la caja de protección y medida? (ITC-BT 13)",,"Nunca sobre las fachadas exteriores de los edificios ni en lugares de libre y permanente acceso.","Obligatoriamente sobre las fachadas exteriores de los edificios en lugares de libre y permanente acceso.","Preferentemente sobre las fachadas exteriores de los edificios, en lugares de libre y permanente acceso.","Preferentemente sobre las fachadas exteriores de los edificios, en lugares de libre y permanente acceso."
597,"En una zona de una tintorería donde se utilizan líquidos inflamables se ha instalado una toma de corriente trifásica con un cable tripolar de XLPE bajo tubo en montaje superficial. La sección de los conductores que componen dicho cable es de 6 mm² y la temperatura ambiente es de 40 °C. ¿Cuál es la intensidad máxima admitida por los conductores del cable? (UNE 20.460-5-523)",,"44 A.","37 A.","31,45 A.","31,45 A."
